;;;;;;;Playing Time;;;;Performance;;;;;;;;Expected;;;;Progression;;;Per 90 Minutes;;;;;;;;;;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
67;Facundo Buonanotte;ar ARG;FW,MF;Brighton;18-313;2004;2;1;65;0.7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.14;0.14;0.29;0.43;0.00;2.86;4.29;0.00;0.00;0.00;0.00;0.00;0.15;0.23;0.38;0.15;0.38;Matches
68;Reece Burke;eng ENG;DF;Luton Town;27-060;1996;8;7;595;6.6;0.00;0.15;0.15;0.00;0.00;0.00;0.15;0.00;0.06;0.06;0.06;0.12;0.00;3.64;1.36;0.00;0.15;0.15;0.00;0.15;0.06;0.06;0.12;0.06;0.12;Matches
69;Dan Burn;eng ENG;DF;Newcastle Utd;31-176;1992;10;10;900;10.0;0.10;0.00;0.10;0.10;0.00;0.00;0.20;0.00;0.10;0.10;0.05;0.15;0.70;3.10;1.50;0.10;0.00;0.10;0.10;0.10;0.10;0.05;0.15;0.10;0.15;Matches
70;Mason Burstow;eng ENG;FW;Chelsea;20-089;2003;2;0;9;0.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
71;Moisés Caicedo;ec ECU;MF;Chelsea;21-364;2001;8;7;623;6.9;0.00;0.00;0.00;0.00;0.00;0.00;0.29;0.00;0.01;0.01;0.04;0.06;0.58;5.51;1.01;0.00;0.00;0.00;0.00;0.00;0.02;0.05;0.06;0.02;0.06;Matches
72;Tom Cairney;sct SCO;MF;Fulham;32-285;1991;8;2;170;1.9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.32;0.42;1.05;6.84;2.63;0.00;0.00;0.00;0.00;0.00;0.08;0.33;0.40;0.08;0.40;Matches
73;Dominic Calvert-Lewin;eng ENG;FW;Everton;26-230;1997;7;5;410;4.6;0.65;0.00;0.65;0.65;0.00;0.00;0.00;0.00;0.61;0.61;0.04;0.65;1.96;1.30;5.00;0.66;0.00;0.66;0.66;0.66;0.61;0.03;0.65;0.61;0.65;Matches
74;Thomas Cannon;ie IRL;FW;Everton;20-308;2002;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
75;Diego Carlos;br BRA;DF;Aston Villa;30-231;1993;6;3;264;2.9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.14;0.14;0.00;0.14;0.00;3.10;0.00;0.00;0.00;0.00;0.00;0.00;0.13;0.00;0.13;0.13;0.13;Matches
76;Casemiro;br BRA;MF;Manchester Utd;31-251;1992;8;8;648;7.2;0.14;0.00;0.14;0.14;0.00;0.00;0.14;0.00;0.25;0.25;0.04;0.29;1.11;7.64;3.33;0.14;0.00;0.14;0.14;0.14;0.25;0.04;0.29;0.25;0.29;Matches
77;Matty Cash;pl POL;DF,MF;Aston Villa;26-086;1997;10;10;875;9.7;0.21;0.10;0.31;0.21;0.00;0.00;0.31;0.00;0.30;0.30;0.10;0.40;2.47;2.58;3.30;0.21;0.10;0.31;0.21;0.31;0.30;0.10;0.40;0.30;0.40;Matches
78;Timothy Castagne;be BEL;DF;Fulham;27-331;1995;7;6;558;6.2;0.00;0.00;0.00;0.00;0.00;0.00;0.16;0.00;0.03;0.03;0.05;0.08;2.74;4.52;5.16;0.00;0.00;0.00;0.00;0.00;0.03;0.05;0.07;0.03;0.07;Matches
79;Jonny Castro;es ESP;MF;Wolves;29-243;1994;1;0;5;0.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
80;Julio César Enciso;py PAR;MF;Brighton;19-282;2004;2;1;69;0.8;0.00;2.50;2.50;0.00;0.00;0.00;1.25;0.00;0.25;0.25;0.87;1.13;6.25;0.00;6.25;0.00;2.61;2.61;0.00;2.61;0.26;0.96;1.22;0.26;1.22;Matches
81;Youssef Chermiti;pt POR;FW;Everton;19-161;2004;5;0;34;0.4;0.00;0.00;0.00;0.00;0.00;0.00;2.50;0.00;0.25;0.25;0.00;0.25;0.00;2.50;10.0;0.00;0.00;0.00;0.00;0.00;0.15;0.00;0.15;0.15;0.15;Matches
82;Ben Chilwell;eng ENG;DF,MF;Chelsea;26-315;1996;6;4;336;3.7;0.00;0.27;0.27;0.00;0.00;0.00;0.81;0.00;0.27;0.27;0.49;0.76;3.24;2.70;6.22;0.00;0.27;0.27;0.00;0.27;0.26;0.49;0.74;0.26;0.74;Matches
83;Tahith Chong;nl NED;MF;Luton Town;23-332;1999;8;5;469;5.2;0.00;0.00;0.00;0.00;0.00;0.00;0.38;0.00;0.08;0.08;0.00;0.08;1.73;3.27;3.65;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.07;0.07;0.07;Matches
84;Ryan Christie;sct SCO;MF;Bournemouth;28-252;1995;10;9;693;7.7;0.00;0.13;0.13;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.16;0.21;2.21;3.51;4.03;0.00;0.13;0.13;0.00;0.13;0.05;0.15;0.21;0.05;0.21;Matches
