;;;;;;;Playing Time;;;;Performance;;;;;;;;Expected;;;;Progression;;;Per 90 Minutes;;;;;;;;;;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
365;Cristian Romero;ar ARG;DF;Tottenham;25-188;1998;10;10;823;9.1;0.22;0.00;0.22;0.22;0.00;0.00;0.22;0.00;0.10;0.10;0.02;0.12;1.21;6.37;0.33;0.22;0.00;0.22;0.22;0.22;0.10;0.02;0.12;0.10;0.12;Matches
366;Joe Rothwell;eng ENG;MF;Bournemouth;28-294;1995;7;3;314;3.5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.03;0.06;1.43;4.00;0.86;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.05;0.02;0.05;Matches
367;Pelly Ruddock Mpanzu;cd COD;MF;Luton Town;30-107;1993;10;5;504;5.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.09;0.07;0.14;1.07;4.11;1.43;0.00;0.00;0.00;0.00;0.00;0.08;0.07;0.15;0.08;0.15;Matches
368;José Sá;pt POR;GK;Wolves;30-288;1993;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
369;Bukayo Saka;eng ENG;FW;Arsenal;22-057;2001;9;9;774;8.6;0.47;0.35;0.81;0.23;0.23;0.23;0.12;0.00;0.48;0.29;0.24;0.53;5.35;3.60;13.5;0.47;0.35;0.81;0.23;0.58;0.47;0.25;0.72;0.29;0.54;Matches
370;Mohamed Salah;eg EGY;FW;Liverpool;31-139;1992;10;10;863;9.6;0.83;0.42;1.25;0.52;0.31;0.42;0.10;0.00;0.77;0.43;0.48;0.91;3.54;4.69;9.58;0.83;0.42;1.25;0.52;0.94;0.77;0.48;1.25;0.43;0.90;Matches
371;William Saliba;fr FRA;DF;Arsenal;22-222;2001;10;10;900;10.0;0.00;0.10;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.20;4.80;0.10;0.00;0.10;0.10;0.00;0.10;0.00;0.01;0.01;0.00;0.01;Matches
372;Albert Sambi Lokonga;be BEL;MF;Luton Town;24-010;1999;2;2;129;1.4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.07;0.07;0.07;0.00;2.86;1.43;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.08;0.04;0.08;Matches
373;Davinson Sánchez;co COL;DF;Tottenham;27-142;1996;1;0;77;0.9;0.00;0.00;0.00;0.00;0.00;0.00;1.11;0.00;0.11;0.11;0.00;0.11;0.00;2.22;0.00;0.00;0.00;0.00;0.00;0.00;0.14;0.00;0.14;0.14;0.14;Matches
374;Robert Sánchez;es ESP;GK;Chelsea;25-348;1997;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
375;Jadon Sancho;eng ENG;FW,MF;Manchester Utd;23-221;2000;3;0;79;0.9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.11;11.1;4.44;5.56;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.00;0.06;Matches
376;Ibrahim Sangaré;ci CIV;MF;Nott'ham Forest;25-334;1997;6;6;463;5.1;0.00;0.00;0.00;0.00;0.00;0.00;0.78;0.00;0.12;0.12;0.02;0.14;0.59;3.33;0.59;0.00;0.00;0.00;0.00;0.00;0.12;0.02;0.13;0.12;0.13;Matches
377;Andrey Santos;br BRA;MF;Nott'ham Forest;19-182;2004;1;0;8;0.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.64;0.00;0.64;0.64;0.64;Matches
378;Pablo Sarabia;es ESP;FW,MF;Wolves;31-174;1992;5;2;189;2.1;0.00;0.48;0.48;0.00;0.00;0.00;0.48;0.00;0.19;0.19;0.71;0.90;1.90;4.29;9.05;0.00;0.48;0.48;0.00;0.48;0.19;0.73;0.92;0.19;0.92;Matches
379;Kevin Schade;de GER;FW,MF;Brentford;21-339;2001;5;3;257;2.9;0.34;0.00;0.34;0.34;0.00;0.00;0.00;0.00;0.24;0.24;0.14;0.38;1.03;3.10;6.21;0.35;0.00;0.35;0.35;0.35;0.25;0.15;0.40;0.25;0.40;Matches
380;Fabian Schär;ch SUI;DF;Newcastle Utd;31-316;1991;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.06;0.06;0.00;0.06;0.30;3.20;0.30;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06;Matches
381;Jeffrey Schlupp;gh GHA;FW,MF;Crystal Palace;30-313;1992;9;9;623;6.9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.10;0.16;1.01;2.17;2.90;0.00;0.00;0.00;0.00;0.00;0.06;0.10;0.16;0.06;0.16;Matches
382;Alex Scott;eng ENG;MF;Bournemouth;20-072;2003;2;2;146;1.6;0.00;0.00;0.00;0.00;0.00;0.00;0.63;0.00;0.00;0.00;0.06;0.06;2.50;2.50;1.25;0.00;0.00;0.00;0.00;0.00;0.02;0.05;0.07;0.02;0.07;Matches
383;Nélson Semedo;pt POR;DF,MF;Wolves;29-350;1993;9;9;803;8.9;0.00;0.00;0.00;0.00;0.00;0.00;0.45;0.00;0.07;0.07;0.01;0.08;2.13;3.71;4.04;0.00;0.00;0.00;0.00;0.00;0.07;0.01;0.08;0.07;0.08;Matches
384;Antoine Semenyo;gh GHA;FW;Bournemouth;23-298;2000;7;4;325;3.6;0.56;0.00;0.56;0.56;0.00;0.00;0.28;0.00;0.22;0.22;0.17;0.42;3.89;2.50;6.39;0.55;0.00;0.55;0.55;0.55;0.23;0.18;0.41;0.23;0.41;Matches
385;Marcos Senesi;ar ARG;DF;Bournemouth;26-175;1997;8;5;443;4.9;0.00;0.20;0.20;0.00;0.00;0.00;0.20;0.00;0.00;0.00;0.04;0.04;1.84;4.69;0.00;0.00;0.20;0.20;0.00;0.20;0.00;0.04;0.04;0.00;0.04;Matches
386;Luke Shaw;eng ENG;DF;Manchester Utd;28-112;1995;2;2;180;2.0;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.00;0.00;0.35;0.35;0.50;5.50;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.36;0.36;0.00;0.36;Matches
387;Bernardo Silva;pt POR;MF,FW;Manchester City;29-083;1994;7;6;554;6.2;0.16;0.32;0.48;0.16;0.00;0.00;0.32;0.00;0.06;0.06;0.32;0.39;4.52;5.97;7.26;0.16;0.32;0.49;0.16;0.49;0.07;0.33;0.40;0.07;0.40;Matches
388;Fábio Silva;pt POR;FW;Wolves;21-105;2002;7;3;254;2.8;0.00;0.00;0.00;0.00;0.00;0.00;0.36;0.00;0.36;0.36;0.07;0.43;1.79;3.57;4.29;0.00;0.00;0.00;0.00;0.00;0.37;0.07;0.44;0.37;0.44;Matches
389;Thiago Silva;br BRA;DF;Chelsea;39-040;1984;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.00;0.02;0.02;0.03;0.04;0.10;3.90;0.20;0.00;0.00;0.00;0.00;0.00;0.02;0.03;0.04;0.02;0.04;Matches
390;Luis Sinisterra;co COL;FW,MF;Bournemouth;24-137;1999;3;0;84;0.9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.33;4.44;5.56;8.89;0.00;0.00;0.00;0.00;0.00;0.00;0.27;0.27;0.00;0.27;Matches
391;Oliver Skipp;eng ENG;MF;Tottenham;23-046;2000;6;1;149;1.7;0.00;0.00;0.00;0.00;0.00;0.00;0.59;0.00;0.00;0.00;0.00;0.00;0.00;4.12;4.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
392;Adam Smith;eng ENG;DF;Bournemouth;32-186;1991;3;1;99;1.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.91;9.09;1.82;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.04;Matches
393;Emile Smith Rowe;eng ENG;MF;Arsenal;23-096;2000;4;1;107;1.2;0.00;0.83;0.83;0.00;0.00;0.00;0.00;0.00;0.67;0.67;0.08;0.75;0.83;4.17;4.17;0.00;0.84;0.84;0.00;0.84;0.71;0.05;0.76;0.71;0.76;Matches
394;Dominic Solanke;eng ENG;FW;Bournemouth;26-048;1997;10;10;894;9.9;0.40;0.10;0.51;0.40;0.00;0.00;0.10;0.00;0.37;0.37;0.05;0.42;1.52;1.62;4.75;0.40;0.10;0.50;0.40;0.50;0.37;0.05;0.42;0.37;0.42;Matches
395;Manor Solomon;il ISR;FW;Tottenham;24-100;1999;5;2;199;2.2;0.00;0.91;0.91;0.00;0.00;0.00;0.45;0.00;0.18;0.18;0.36;0.55;7.73;5.00;20.0;0.00;0.90;0.90;0.00;0.90;0.19;0.38;0.56;0.19;0.56;Matches
396;Tomáš Sou?ek;cz CZE;MF;West Ham;28-247;1995;9;8;626;7.0;0.29;0.14;0.43;0.29;0.00;0.00;0.14;0.00;0.37;0.37;0.09;0.46;0.43;2.57;0.86;0.29;0.14;0.43;0.29;0.43;0.37;0.09;0.46;0.37;0.46;Matches
397;Vinicius Souza;br BRA;MF;Sheffield Utd;24-137;1999;10;9;788;8.8;0.00;0.00;0.00;0.00;0.00;0.00;0.23;0.00;0.02;0.02;0.00;0.02;0.45;2.95;1.02;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches
398;Jason Steele;eng ENG;GK;Brighton;33-075;1990;6;6;540;6.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
399;Raheem Sterling;eng ENG;FW,MF;Chelsea;28-328;1994;10;9;810;9.0;0.33;0.00;0.33;0.33;0.00;0.00;0.22;0.00;0.28;0.28;0.14;0.42;6.56;3.11;12.9;0.33;0.00;0.33;0.33;0.33;0.28;0.14;0.42;0.28;0.42;Matches
400;John Stones;eng ENG;MF,DF;Manchester City;29-157;1994;3;2;187;2.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.95;1.90;2.38;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.07;0.00;0.07;Matches
401;Thomas Strakosha;al ALB;GK;Brentford;28-227;1995;1;1;90;1.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
402;Dominik Szoboszlai;hu HUN;MF;Liverpool;23-007;2000;10;10;900;10.0;0.10;0.20;0.30;0.10;0.00;0.00;0.10;0.00;0.08;0.08;0.35;0.43;2.70;7.40;6.30;0.10;0.20;0.30;0.10;0.30;0.08;0.35;0.43;0.08;0.43;Matches
403;Matt Targett;eng ENG;DF;Newcastle Utd;28-044;1995;3;1;78;0.9;0.00;0.00;0.00;0.00;0.00;0.00;1.11;0.00;0.00;0.00;0.00;0.00;1.11;2.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03;Matches
404;James Tarkowski;eng ENG;DF;Everton;30-347;1992;10;10;899;10.0;0.10;0.10;0.20;0.10;0.00;0.00;0.10;0.00;0.08;0.08;0.04;0.12;0.10;3.30;0.50;0.10;0.10;0.20;0.10;0.20;0.08;0.04;0.12;0.08;0.12;Matches
405;Nuno Tavares;pt POR;DF;Nott'ham Forest;23-279;2000;3;1;95;1.1;0.00;0.00;0.00;0.00;0.00;0.00;1.82;0.00;0.00;0.00;0.00;0.00;2.73;0.91;0.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
406;Marcus Tavernier;eng ENG;FW;Bournemouth;24-224;1999;7;6;457;5.1;0.00;0.20;0.20;0.00;0.00;0.00;0.00;0.00;0.12;0.12;0.24;0.35;2.94;1.76;4.90;0.00;0.20;0.20;0.00;0.20;0.11;0.23;0.34;0.11;0.34;Matches
407;Charlie Taylor;eng ENG;DF;Burnley;30-044;1993;7;7;630;7.0;0.14;0.00;0.14;0.14;0.00;0.00;0.43;0.00;0.01;0.01;0.00;0.01;0.86;3.00;1.86;0.14;0.00;0.14;0.14;0.14;0.01;0.00;0.02;0.01;0.02;Matches
408;Kenny Tete;nl NED;DF;Fulham;28-023;1995;5;5;427;4.7;0.00;0.00;0.00;0.00;0.00;0.00;0.43;0.00;0.04;0.04;0.02;0.06;2.34;5.11;5.74;0.00;0.00;0.00;0.00;0.00;0.04;0.01;0.05;0.04;0.05;Matches
409;Luke Thomas;eng ENG;DF;Sheffield Utd;22-144;2001;7;6;538;6.0;0.00;0.00;0.00;0.00;0.00;0.00;0.17;0.00;0.08;0.08;0.00;0.08;1.00;3.50;2.33;0.00;0.00;0.00;0.00;0.00;0.08;0.00;0.09;0.08;0.09;Matches
410;Youri Tielemans;be BEL;MF,FW;Aston Villa;26-178;1997;10;0;168;1.9;0.00;0.53;0.53;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.16;0.21;2.63;9.47;3.16;0.00;0.54;0.54;0.00;0.54;0.04;0.18;0.22;0.04;0.22;Matches
411;Jurriën Timber;nl NED;DF;Arsenal;22-137;2001;1;1;49;0.5;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;14.0;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
412;Harry Toffolo;eng ENG;DF;Nott'ham Forest;28-074;1995;4;2;233;2.6;0.00;0.38;0.38;0.00;0.00;0.00;0.00;0.00;0.15;0.15;0.08;0.19;0.38;3.46;5.00;0.00;0.39;0.39;0.00;0.39;0.14;0.07;0.20;0.14;0.20;Matches
413;Takehiro Tomiyasu;jp JPN;DF;Arsenal;24-361;1998;8;1;241;2.7;0.37;0.00;0.37;0.37;0.00;0.00;0.74;0.37;0.15;0.15;0.00;0.15;0.37;5.56;2.59;0.37;0.00;0.37;0.37;0.37;0.14;0.00;0.14;0.14;0.14;Matches
414;James Tomkins;eng ENG;DF;Crystal Palace;34-217;1989;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
415;Sandro Tonali;it ITA;MF;Newcastle Utd;23-177;2000;8;5;438;4.9;0.20;0.00;0.20;0.20;0.00;0.00;0.41;0.00;0.14;0.14;0.12;0.27;2.24;3.88;4.29;0.21;0.00;0.21;0.21;0.21;0.13;0.13;0.26;0.13;0.26;Matches
416;Pau Torres;es ESP;DF;Aston Villa;26-289;1997;10;9;870;9.7;0.10;0.00;0.10;0.10;0.00;0.00;0.00;0.00;0.05;0.05;0.01;0.05;1.24;5.05;0.62;0.10;0.00;0.10;0.10;0.10;0.05;0.01;0.05;0.05;0.05;Matches
417;Andros Townsend;eng ENG;MF;Luton Town;32-108;1991;2;0;53;0.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.17;0.17;3.33;1.67;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.18;0.18;0.00;0.18;Matches
418;James Trafford;eng ENG;GK;Burnley;21-022;2002;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
419;Adama Traoré;es ESP;FW,DF;Fulham;27-280;1996;3;0;35;0.4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.50;0.00;0.50;2.50;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.53;0.00;0.53;0.53;0.53;Matches
420;Bertrand Traoré;bf BFA;DF,FW;Aston Villa;28-056;1995;2;0;11;0.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
421;Boubacar Traoré;ml MLI;MF,FW;Wolves;22-073;2001;7;2;239;2.7;0.00;0.00;0.00;0.00;0.00;0.00;0.37;0.00;0.00;0.00;0.00;0.04;1.11;2.59;1.85;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.03;0.02;0.03;Matches
422;Mike Trésor;be BEL;FW;Burnley;24-157;1999;5;2;221;2.5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.16;0.16;0.12;0.28;3.20;2.00;5.60;0.00;0.00;0.00;0.00;0.00;0.16;0.11;0.27;0.16;0.27;Matches
423;Kieran Trippier;eng ENG;DF;Newcastle Utd;33-043;1990;10;10;857;9.5;0.00;0.63;0.63;0.00;0.00;0.00;0.32;0.00;0.01;0.01;0.41;0.41;1.79;7.47;5.58;0.00;0.63;0.63;0.00;0.63;0.01;0.40;0.41;0.01;0.41;Matches
424;Leandro Trossard;be BEL;FW;Arsenal;28-332;1994;6;2;212;2.4;0.83;0.00;0.83;0.83;0.00;0.00;0.00;0.00;0.13;0.13;0.38;0.50;3.33;5.00;7.08;0.85;0.00;0.85;0.85;0.85;0.13;0.37;0.50;0.13;0.50;Matches
425;Auston Trusty;us USA;DF;Sheffield Utd;25-081;1998;5;3;287;3.2;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.31;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01;Matches
426;Kostas Tsimikas;gr GRE;DF;Liverpool;27-173;1996;3;2;156;1.7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.12;0.12;3.53;5.88;15.3;0.00;0.00;0.00;0.00;0.00;0.00;0.14;0.14;0.00;0.14;Matches
427;Matt Turner;us USA;GK;Nott'ham Forest;29-130;1994;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
428;Destiny Udogie;it ITA;DF;Tottenham;20-338;2002;9;9;728;8.1;0.00;0.25;0.25;0.00;0.00;0.00;0.37;0.00;0.02;0.02;0.09;0.11;3.21;5.43;6.05;0.00;0.25;0.25;0.00;0.25;0.02;0.09;0.11;0.02;0.11;Matches
429;Lesley Ugochukwu;fr FRA;MF;Chelsea;19-220;2004;6;1;145;1.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.13;8.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03;Matches
430;Virgil van Dijk;nl NED;DF;Liverpool;32-116;1991;8;8;657;7.3;0.00;0.27;0.27;0.00;0.00;0.00;0.14;0.14;0.08;0.08;0.14;0.21;0.41;4.79;0.14;0.00;0.27;0.27;0.00;0.27;0.08;0.13;0.21;0.08;0.21;Matches
431;Raphaël Varane;fr FRA;DF;Manchester Utd;30-190;1993;6;4;330;3.7;0.27;0.00;0.27;0.27;0.00;0.00;0.00;0.00;0.30;0.30;0.03;0.32;1.62;7.03;0.27;0.27;0.00;0.27;0.27;0.27;0.31;0.02;0.32;0.31;0.32;Matches
432;Alejo Véliz;ar ARG;FW,MF;Tottenham;20-043;2003;3;0;11;0.1;0.00;0.00;0.00;0.00;0.00;0.00;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
433;Joël Veltman;nl NED;DF;Brighton;31-290;1992;10;5;580;6.4;0.00;0.16;0.16;0.00;0.00;0.00;0.16;0.00;0.02;0.02;0.06;0.08;0.94;3.28;1.88;0.00;0.16;0.16;0.00;0.16;0.01;0.06;0.07;0.01;0.07;Matches
434;Micky van de Ven;nl NED;DF;Tottenham;22-196;2001;10;10;899;10.0;0.10;0.00;0.10;0.10;0.00;0.00;0.10;0.00;0.03;0.03;0.00;0.03;0.90;3.40;0.10;0.10;0.00;0.10;0.10;0.10;0.03;0.00;0.03;0.03;0.03;Matches
435;Bart Verbruggen;nl NED;GK;Brighton;21-075;2002;4;4;360;4.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
436;Guglielmo Vicario;it ITA;GK;Tottenham;27-025;1996;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
437;Fabio Vieira;pt POR;MF;Arsenal;23-155;2000;6;2;205;2.3;0.43;0.87;1.30;0.00;0.43;0.43;0.00;0.00;0.52;0.17;0.48;0.65;3.91;4.78;9.57;0.44;0.88;1.32;0.00;0.88;0.53;0.47;0.99;0.18;0.65;Matches
438;Carlos Vinícius;br BRA;FW;Fulham;28-221;1995;5;2;201;2.2;0.45;0.00;0.45;0.45;0.00;0.00;0.00;0.00;0.32;0.32;0.23;0.55;0.91;0.91;3.64;0.45;0.00;0.45;0.45;0.45;0.30;0.25;0.54;0.30;0.54;Matches
439;Vitinho;br BRA;DF;Burnley;24-101;1999;4;3;243;2.7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;3.33;4.07;1.48;0.00;0.00;0.00;0.00;0.00;0.01;0.05;0.05;0.01;0.05;Matches
440;Kyle Walker;eng ENG;DF;Manchester City;33-157;1990;10;10;899;10.0;0.00;0.10;0.10;0.00;0.00;0.00;0.10;0.00;0.01;0.01;0.12;0.13;2.80;5.60;6.60;0.00;0.10;0.10;0.00;0.10;0.01;0.12;0.13;0.01;0.13;Matches
441;Aaron Wan-Bissaka;eng ENG;DF;Manchester Utd;25-340;1997;5;4;341;3.8;0.00;0.26;0.26;0.00;0.00;0.00;0.53;0.00;0.00;0.00;0.29;0.29;2.89;4.21;2.63;0.00;0.26;0.26;0.00;0.26;0.00;0.30;0.30;0.00;0.30;Matches
442;Joel Ward;eng ENG;DF;Crystal Palace;34-003;1989;9;9;802;8.9;0.00;0.00;0.00;0.00;0.00;0.00;0.34;0.00;0.07;0.07;0.00;0.07;0.79;3.37;0.90;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.07;0.07;0.07;Matches
443;James Ward-Prowse;eng ENG;MF;West Ham;29-000;1994;9;9;782;8.7;0.23;0.34;0.57;0.23;0.00;0.00;0.11;0.00;0.18;0.18;0.29;0.48;0.80;3.68;2.18;0.23;0.35;0.58;0.23;0.58;0.19;0.29;0.48;0.19;0.48;Matches
444;Deivid Washington;br BRA;DF;Chelsea;18-149;2005;1;0;10;0.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;5.00;0.00;5.00;0.00;0.00;10.0;0.00;0.00;0.00;0.00;0.00;4.19;0.00;4.19;4.19;4.19;Matches
445;Ollie Watkins;eng ENG;FW;Aston Villa;27-306;1995;10;10;858;9.5;0.53;0.53;1.05;0.53;0.00;0.00;0.00;0.00;0.52;0.52;0.26;0.78;1.89;1.47;5.79;0.52;0.52;1.05;0.52;1.05;0.51;0.27;0.77;0.51;0.77;Matches
446;Adam Webster;eng ENG;DF;Brighton;28-301;1995;5;5;450;5.0;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.00;0.02;0.02;0.00;0.02;1.20;5.20;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches
447;Danny Welbeck;eng ENG;FW,MF;Brighton;32-340;1990;8;7;408;4.5;0.22;0.00;0.22;0.22;0.00;0.00;0.22;0.00;0.24;0.24;0.07;0.31;1.78;2.44;4.67;0.22;0.00;0.22;0.22;0.22;0.24;0.06;0.30;0.24;0.30;Matches
448;Ben White;eng ENG;DF;Arsenal;26-024;1997;10;10;875;9.7;0.10;0.00;0.10;0.10;0.00;0.00;0.21;0.00;0.05;0.05;0.09;0.13;1.55;5.36;4.54;0.10;0.00;0.10;0.10;0.10;0.05;0.09;0.14;0.05;0.14;Matches
449;Neco Williams;wls WAL;MF,DF;Nott'ham Forest;22-202;2001;4;1;120;1.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.08;0.77;2.31;3.85;0.00;0.00;0.00;0.00;0.00;0.02;0.08;0.10;0.02;0.10;Matches
450;Willian;br BRA;FW;Fulham;35-084;1988;9;7;620;6.9;0.14;0.00;0.14;0.14;0.00;0.00;0.14;0.00;0.14;0.14;0.09;0.22;4.20;5.51;8.12;0.15;0.00;0.15;0.15;0.15;0.14;0.08;0.22;0.14;0.22;Matches
451;Joe Willock;eng ENG;FW;Newcastle Utd;24-073;1999;1;0;19;0.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.0;5.00;15.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
452;Callum Wilson;eng ENG;FW;Newcastle Utd;31-247;1992;9;4;423;4.7;1.49;0.00;1.49;1.06;0.43;0.43;0.21;0.00;1.26;0.94;0.00;0.94;1.06;0.43;7.02;1.49;0.00;1.49;1.06;1.06;1.27;0.01;1.27;0.93;0.93;Matches
453;Harry Wilson;wls WAL;FW;Fulham;26-224;1997;10;6;550;6.1;0.00;0.16;0.16;0.00;0.00;0.00;0.16;0.00;0.10;0.10;0.18;0.28;1.64;3.28;8.03;0.00;0.16;0.16;0.00;0.16;0.10;0.18;0.28;0.10;0.28;Matches
454;Yoane Wissa;cd COD;FW;Brentford;27-059;1996;10;10;833;9.3;0.32;0.11;0.43;0.32;0.00;0.00;0.11;0.00;0.47;0.47;0.10;0.57;1.94;1.29;4.62;0.32;0.11;0.43;0.32;0.43;0.47;0.10;0.57;0.47;0.57;Matches
455;Chris Wood;nz NZL;FW;Nott'ham Forest;31-329;1991;9;2;238;2.6;1.15;0.00;1.15;1.15;0.00;0.00;0.00;0.00;0.81;0.81;0.08;0.88;1.15;1.15;3.85;1.13;0.00;1.13;1.13;1.13;0.79;0.07;0.86;0.79;0.86;Matches
456;Cauley Woodrow;eng ENG;FW,MF;Luton Town;28-334;1994;7;0;81;0.9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.67;0.67;0.33;1.11;3.33;1.11;6.67;0.00;0.00;0.00;0.00;0.00;0.68;0.39;1.07;0.68;1.07;Matches
457;Joe Worrall;eng ENG;DF;Nott'ham Forest;26-295;1997;6;5;438;4.9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.02;0.02;0.04;0.06;0.00;1.63;0.20;0.00;0.00;0.00;0.00;0.00;0.02;0.04;0.06;0.02;0.06;Matches
